编号,租金,租赁方式,地铁距离,房屋类型,房屋面积,朝向,楼层,车位,用电,采暖,电梯,用水,燃气,区域
BJ2870917381369372672,5200,整租,,2室1厅1卫,62,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2903487444915855360,8300,整租,,3室1厅1卫,99,南,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2903520257266155520,5600,整租,1046m,1室1厅1卫,66.89,西,低楼层,免费使用,民电,集中供暖,有,民水,有,朝阳
BJ1565333523387121664,12000,整租,252m,3室2厅2卫,143.75,西,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2805824263255228416,5500,整租,165m,2室1厅1卫,66,南,高楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2813709772191440896,10000,整租,,4房间1卫,120,南,高楼层,租用车位,民电,自采暖,有,民水,有,亦庄开发区
BJ2882748608627875840,5000,整租,419m,2室1厅1卫,60,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,丰台
BJ2886932972479987712,5000,整租,,2室1厅1卫,60,南/北,中楼层,租用车位,民电,集中供暖,有,商水,有,丰台
BJ1569925828471422976,12000,整租,,4室2厅2卫,144,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1572955800454823936,6000,整租,815m,2室1厅1卫,72,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1573273501375135744,6500,整租,993m,2室1厅1卫,78,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2869549654251945984,11000,整租,361m,2室2厅2卫,132,东,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1573968849588453376,6500,整租,717m,2室1厅1卫,78,东/北,中楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2825901746084118528,11500,整租,361m,3室2厅2卫,138,东南,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1568081140567244800,5500,整租,595m,2室1厅1卫,66,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,东城
BJ1573174679043047424,12500,整租,,3室2厅2卫,150.18,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2904208038666190848,7400,整租,1016m,2室2厅1卫,89,南/北,高楼层,租用车位,民电,自采暖,无,民水,有,海淀
BJ2801396795438006272,8800,整租,411m,2室2厅2卫,106,东/西,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569978359910236160,6800,整租,516m,2室1厅1卫,82,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2905704075356553216,6500,整租,,2房间1卫,78.39,南/北,高楼层,租用车位,商电,集中供暖,有,商水,有,顺义
BJ2893404051477897216,5800,整租,,1室1厅1卫,70,西,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1575455583711002624,7400,整租,,3室1厅1卫,89.34,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ1569528816013934592,4800,整租,,2室1厅1卫,58,东/西,低楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ2895464965983453184,9000,整租,,2室1厅2卫,109,南,高楼层,租用车位,民电,集中供暖,无,民水,有,亦庄开发区
BJ1573653810230853632,7000,整租,,2室1厅1卫,85,南/北,高楼层,免费使用,民电,自采暖,有,民水,有,海淀
BJ1569896067648978944,5600,整租,1069m,2房间1卫,68,南,低楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2901304852712005632,7000,整租,1098m,3房间1卫,85,南,高楼层,免费使用,商电,集中供暖,有,商水,有,朝阳
BJ2807799058557566976,12500,整租,331m,3室2厅2卫,152,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2830381036355977216,39000,整租,988m,5室2厅3卫,474.6,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,亦庄开发区
BJ2878842891206402048,7300,整租,1000m,2室1厅2卫,89,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ2827762785302355968,9000,整租,516m,2室2厅2卫,109.94,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572204251973681152,7600,整租,,2室1厅1卫,93,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ2881875102348083200,4900,整租,,2室1厅1卫,60,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ1569243154878562304,5000,整租,,1室1厅1卫,61.23,南,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2832500311162093568,8000,整租,,2室1厅1卫,98,西,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1565272942995046400,9300,整租,438m,3室1厅2卫,114,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ1569644207377743872,7500,整租,,4房间2卫,92,南,中楼层,租用车位,民电,集中供暖,有,民水,无,顺义
BJ2860817825005060096,7500,整租,,1室1厅1卫,92,东北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2774056129183875072,7000,整租,418m,3房间1卫,86,南/西,高楼层,租用车位,商电,集中供暖,有,民水,有,大兴
BJ2905872565027209216,6500,整租,,2室1厅1卫,80,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ1573607096300077056,4600,整租,633m,2室1厅1卫,56.65,东,高楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ1570273009845927936,14000,整租,,3室2厅3卫,172.57,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ2861728216085692416,7800,整租,补1264,2室1厅1卫,96.32,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1572536837614862336,8900,整租,709m,4房间1卫,110,西,低楼层,租用车位,商电,集中供暖,有,商水,有,昌平
BJ1570742482918965248,3500,整租,,1室1厅1卫,43.3,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,石景山
BJ2895598959743737856,5900,整租,,1室1厅1卫,73,南,高楼层,免费使用,民电,集中供暖,有,民水,有,昌平
BJ2903563101603905536,7500,整租,,2室2厅1卫,93,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1570636571860795392,9500,整租,,3室2厅2卫,118,南/北,中楼层,租用车位,民电,自采暖,无,民水,有,朝阳
BJ1573279172166418432,9500,整租,181m,2室1厅1卫,118,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,东城
BJ2904486179942432768,6500,整租,466m,3室1厅1卫,80.77,西南,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2876183938618105856,7000,整租,1199m,2室1厅1卫,87,南,高楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ1572831230779457536,7000,整租,899m,3室1厅1卫,87,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,昌平
BJ2897859375421202432,3700,整租,,1室1厅1卫,46,南,高楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2775542603826077696,23000,整租,648m,5室1厅4卫,286,南,低楼层,免费使用,民电,自采暖,无,民水,有,朝阳
BJ2897637199271174144,23000,整租,648m,5室2厅5卫,286,南/北,低楼层,免费使用,民电,自采暖,无,民水,有,朝阳
BJ2848701639987036160,23000,整租,648m,5室2厅4卫,286,南/北,低楼层,免费使用,民电,自采暖,无,民水,有,朝阳
BJ2830412056296439808,13500,整租,313m,2室1厅1卫,167.87,西,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2897632209173487616,5300,整租,1034m,2室1厅1卫,65.91,南,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1569918933232779264,11800,整租,887m,3室1厅2卫,147,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2902885295584722944,4500,整租,,2房间1卫,56.15,北,低楼层,租用车位,商电,自采暖,有,商水,有,海淀
BJ1567463482582892544,6500,整租,887m,2室1厅1卫,81.2,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2900575113709617152,5600,整租,427m,2室1厅1卫,70,西,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1569615456363347968,4000,整租,,1室1厅2卫,50,南,低楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1571462512950378496,12000,整租,887m,3室2厅2卫,150,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,丰台
BJ1567915628184993792,8000,整租,887m,3室1厅1卫,100,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,朝阳
BJ2906560362642153472,11500,整租,866m,3室1厅2卫,144,东/北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2532392820564828160,11000,整租,659m,3室1厅2卫,137.8,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2893502289652219904,6800,整租,补511,2室1厅1卫,85.2,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,昌平
BJ2879160458194468864,16600,整租,366m,3室2厅2卫,208.09,东南/南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1568824998829752320,13000,整租,497m,3室2厅2卫,163,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1571098264877400064,8000,整租,462m,3室1厅1卫,100.31,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2881038574814773248,7000,整租,739m,2室1厅1卫,88,东/南/北,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1571716716352765952,7000,整租,,3室1厅1卫,88,东南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2898614064986980352,8800,整租,,3室1厅2卫,110.66,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1570680152197693440,3100,整租,,1房间1卫,39,东,低楼层,租用车位,商电,集中供暖,有,民水,无,顺义
BJ2894194184732803072,7300,整租,766m,2室1厅1卫,92,南/北,低楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ1573307627851481088,5500,整租,,2室1厅1卫,69.42,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2894319291434541056,8000,整租,434m,2室2厅1卫,101.04,东南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1567020223209406464,3800,整租,938m,2房间2卫,48,西北,中楼层,租用车位,商电,集中供暖,有,商水,无,房山
BJ2850851681498046464,9000,整租,742m,4室1厅2卫,113.76,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2902062055437631488,5300,整租,775m,1室1厅1卫,67,西北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1568596761239355392,5000,整租,,2室1厅1卫,63.23,南,高楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2901407092411727872,6800,整租,1064m,2室1厅1卫,86,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1572587846194167808,3400,整租,715m,1室0厅1卫,43.03,南,低楼层,租用车位,民电,自采暖,有,民水,有,通州
BJ2886170409299091456,4500,整租,,3室2厅2卫,57,南/北,中楼层,租用车位,民电,集中供暖,有,民水,无,顺义
BJ2901309006238711808,4500,整租,,2室1厅1卫,57,西/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2898546807829168128,5800,整租,,2室1厅1卫,73.66,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1570709524266876928,7000,整租,169m,3室1厅1卫,89,南,高楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ1565337741057589248,7000,整租,,2室1厅1卫,89,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ2904246051550527488,7000,整租,,3室1厅1卫,89,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1572106256309551104,7500,整租,405m,2室1厅1卫,95.57,南,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1571413836668338176,7000,整租,,2室1厅1卫,89.22,东,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1572074317905133568,7300,整租,301m,2室1厅2卫,93.1,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ1573920470518988800,9000,整租,539m,4房间1卫,115,东北,高楼层,租用车位,商电,集中供暖,有,商水,有,亦庄开发区
BJ2893622417924825088,6100,整租,427m,2室1厅1卫,78,东,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2874488007413735424,4800,整租,620m,1室1厅1卫,61.53,北,高楼层,免费使用,民电,集中供暖,有,民水,有,朝阳
BJ2881283137911136256,3000,整租,,1房间0卫,38.55,南,高楼层,免费使用,商电,集中供暖,有,商水,有,顺义
BJ1572785510194085888,12000,整租,865m,4室2厅2卫,154.22,南/北,高楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ1567000410240057344,3500,整租,,1室0厅1卫,45,南,高楼层,租用车位,民电,集中供暖,无,民水,有,石景山
BJ1571486455073603584,4200,整租,876m,1室1厅1卫,54,北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1569919815445905408,6600,整租,956m,2室1厅1卫,85,西南/北,中楼层,租用车位,民电,自采暖,有,民水,有,丰台
BJ1572064940158615552,6200,整租,212m,3房间1卫,80,东北,中楼层,租用车位,商电,集中供暖,有,商水,无,通州
BJ2870879896882642944,5800,整租,,1房间1卫,74.85,南,低楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ2842684260631461888,10399,整租,887m,3室2厅1卫,134.28,东北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570978421247311872,12000,整租,,4室2厅3卫,155,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ2905910470504890368,12000,整租,405m,5房间1卫,155,南,中楼层,租用车位,商电,集中供暖,有,商水,有,丰台
BJ2900560202312974336,13000,整租,277m,4室2厅2卫,168,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2857939266418786304,8200,整租,350m,2室1厅1卫,106,东,低楼层,租用车位,民电,自采暖,有,民水,有,东城
BJ2906538817794080768,14000,整租,634m,4室2厅2卫,181,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1568935310887223296,3200,整租,700m,1室1厅1卫,41.42,南,中楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ1569535206577143808,8800,整租,497m,2室2厅1卫,114,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2892754513037901824,3700,整租,,1室1厅1卫,48,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2893456199410794496,6700,整租,1199m,2室1厅1卫,87,南,低楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ2810879498944790528,10000,整租,,3室2厅2卫,130,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,门头沟
BJ2813710454537863168,10000,整租,,4房间1卫,130,南,中楼层,租用车位,民电,集中供暖,有,商水,有,亦庄开发区
BJ2894391729589592064,6000,整租,,2室1厅1卫,78,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1572542598323634176,9000,整租,,4室2厅2卫,117,南/北,中楼层,租用车位,民电,自采暖,无,民水,有,门头沟
BJ2872292510561484800,6900,整租,,2室1厅1卫,89.77,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,昌平
BJ2902726852185694208,6300,整租,697m,2室1厅1卫,82,北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567734132375552000,7300,整租,1081m,2室1厅1卫,95.1,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571003516460204032,2650,整租,,1室0厅1卫,34.54,西,高楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ2884860126354227200,15000,整租,502m,3室1厅2卫,196,南/北,中楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ2796429484189032448,6800,整租,1074m,2室1厅1卫,89,西南,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1571036001982218240,6800,整租,,3室1厅1卫,89,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,顺义
BJ1569183388617670656,7500,整租,659m,2室1厅1卫,98.4,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567401297664016384,2900,整租,1025m,2房间1卫,38.07,东,低楼层,租用车位,民电,集中供暖,有,商水,有,房山
BJ1569967540187168768,7000,整租,1076m,3室1厅1卫,92,东/南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1573580492400230400,5500,整租,650m,1房间1卫,72.38,南,中楼层,租用车位,商电,集中供暖,有,商水,有,丰台
BJ1565315007908937728,7300,整租,717m,2室1厅1卫,96.17,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1567071845847400448,4400,整租,,1室1厅1卫,58,南,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2774801454370652160,7500,整租,,1房间0卫,99,南,中楼层,租用车位,商电,自采暖,有,商水,有,海淀
BJ1570719523735076864,4000,整租,,1室1厅1卫,52.82,北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2896937944436703232,7000,整租,,2室2厅1卫,92.44,南,中楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2788447372152684544,23000,整租,445m,6室2厅4卫,304,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570983885611728896,2600,整租,582m,2房间1卫,34.37,北,高楼层,免费使用,商电,集中供暖,有,商水,无,房山
BJ2881037136101392384,13000,整租,754m,5房间2卫,172,东/南,低楼层,租用车位,民电,集中供暖,有,民水,有,亦庄开发区
BJ2852878449310711808,6500,整租,865m,2室1厅1卫,86,东/北,低楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1567484638408998912,6800,整租,366m,2室1厅1卫,90,南,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1573262754880421888,3400,整租,,1室0厅1卫,45,南,低楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2829555207350779904,6800,整租,,3室1厅1卫,90,南/西/北,中楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2794802127229698048,8300,整租,989m,2室1厅1卫,110,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2899244231095238656,4300,整租,702m,1室1厅1卫,57,南,中楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2902155552127713280,5200,整租,,2室1厅1卫,69,南,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1569287803534049280,2900,整租,,1室0厅1卫,38.49,南,高楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ2885455049822314496,11000,整租,1047m,2室2厅2卫,146,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2903672674524078080,6700,整租,739m,2室1厅1卫,89,东/南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1569177906821726208,5000,整租,,1室1厅1卫,66.6,东南,高楼层,租用车位,民电,自采暖,有,民水,有,大兴
BJ2878091749518491648,13500,整租,912m,4室2厅2卫,180,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2873202936882659328,4200,整租,,1室1厅1卫,56,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1573584382558470144,4500,整租,888m,4房间2卫,60,西北,高楼层,免费使用,商电,集中供暖,有,商水,无,通州
BJ2455114495236767744,9000,整租,734m,4房间1卫,120,西,低楼层,租用车位,民电,集中供暖,有,民水,无,丰台
BJ2896953684426489856,4000,整租,702m,1室0厅1卫,53.42,南,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1574015292101623808,8000,整租,,3室1厅1卫,107,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ2885546863899967488,11000,整租,337m,3室2厅2卫,147.39,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2571588877932568576,26000,整租,,4室2厅4卫,348.98,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,亦庄开发区
BJ2894207986669199360,9000,整租,755m,3室1厅2卫,121,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2895784200886566912,5500,整租,,2室1厅1卫,74,南,中楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ2898604393559760896,11000,整租,445m,3室2厅2卫,148,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2904305332862337024,6300,整租,78m,2室1厅1卫,85,南,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1567490286584594432,8000,整租,,3室2厅2卫,108,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2902310155733975040,3200,整租,418m,2房间1卫,43.24,北,中楼层,免费使用,商电,集中供暖,有,民水,有,大兴
BJ2894854924616089600,6500,整租,,2室1厅1卫,88,东/西,低楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ2892560804433887232,8500,整租,,3室1厅1卫,115.17,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,昌平
BJ2900898619982872576,4500,整租,1194m,1室1厅1卫,61,东/南,低楼层,免费使用,民电,集中供暖,有,民水,有,朝阳
BJ1574603837124116480,4500,整租,27m,1室1厅1卫,61.12,南,低楼层,免费使用,民电,集中供暖,有,民水,有,丰台
BJ2884835844798562304,4500,整租,1066m,2室1厅1卫,61.13,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ1573174076803907584,9000,整租,,3室1厅2卫,122.34,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,丰台
BJ1572133553443962880,8700,整租,673m,3室1厅2卫,118.3,南/北,高楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ2903416568107245568,5000,整租,27m,2室1厅1卫,68,东/南,低楼层,免费使用,民电,集中供暖,有,民水,有,丰台
BJ2894231965286793216,5200,整租,,2室1厅1卫,70.74,东/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2885380293165334528,4200,整租,,1室1厅1卫,57.14,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2848509084750053376,4500,整租,867m,2室1厅1卫,61.25,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,朝阳
BJ1570989873647583232,4500,整租,,1室1厅1卫,61.26,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2847057342729043968,21000,整租,,4室2厅3卫,286,南/北,中楼层,租用车位,民电,自采暖,无,民水,有,顺义
BJ2887030325547384832,2900,整租,337m,2房间1卫,39.5,北,高楼层,租用车位,民电,集中供暖,有,商水,有,房山
BJ1567101228188434432,6600,整租,956m,2室1厅1卫,89.99,南,高楼层,租用车位,民电,自采暖,有,民水,有,丰台
BJ1572143129132269568,3300,整租,,1室0厅1卫,45,南,中楼层,租用车位,民电,自采暖,无,民水,有,石景山
BJ1572514878042669056,6600,整租,,2室1厅1卫,90,南/北,低楼层,免费使用,民电,集中供暖,有,民水,有,丰台
BJ1574348451741696000,3300,整租,,1室0厅1卫,45,南,低楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1572199069785260032,3300,整租,,1室0厅1卫,45,南,高楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ2904472529203118080,18000,整租,862m,4室2厅3卫,245.61,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ2768114736154550272,8000,整租,788m,4室2厅2卫,109.28,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1565603268871061504,5200,整租,366m,2室1厅1卫,71.08,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2898632346481721344,6500,整租,,3室1厅1卫,89,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2905745332711194624,6500,整租,,3室1厅1卫,89,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2899090194785640448,10000,整租,,3室2厅2卫,137,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1565290684884189184,9100,整租,438m,3室1厅2卫,124.83,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ1569910237928882176,11000,整租,869m,3室2厅2卫,151,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2886054294681812992,8300,整租,886m,3室1厅2卫,114,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1572872779995283456,4800,整租,633m,2室1厅1卫,66,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ2894223071961415680,6399,整租,908m,2室1厅1卫,88,南/北,高楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ2596339382890012672,8500,整租,,1房间0卫,116.9,西,中楼层,租用车位,民电,集中供暖,有,民水,无,大兴
BJ1565571477829320704,7500,整租,434m,2室1厅1卫,103.21,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1569927617988001792,5800,整租,,1室1厅1卫,80,西,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1573224615365312512,5800,整租,,2室1厅1卫,80,西北,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1567010077498408960,4200,整租,917m,2室1厅1卫,58,南,中楼层,免费使用,民电,集中供暖,无,民水,有,丰台
BJ1571077237812232192,4200,整租,,1室1厅1卫,58,西,高楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2904379130475200512,6500,整租,,3室2厅1卫,89.87,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2878310063721168896,6500,整租,,3室1厅1卫,90,南,高楼层,免费使用,民电,集中供暖,有,民水,有,丰台
BJ2897922185710804992,6500,整租,702m,2室2厅1卫,90,南,低楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2883158285610401792,6500,整租,532m,2室1厅1卫,90,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1572539602428755968,6500,整租,719m,2室1厅1卫,90,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,昌平
BJ2885322642682806272,6500,整租,,3室1厅1卫,90,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,丰台
BJ2905826175706742784,6200,整租,1031m,2室1厅1卫,86,南,低楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1569228654343356416,6500,整租,,3室1厅1卫,90.22,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2892803390729879552,8500,整租,445m,3室1厅2卫,118,西南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2901562545339383808,8500,整租,,3室2厅2卫,118,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2884965058545188864,3250,整租,416m,1室1厅1卫,45.29,西,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1573220347338031104,4300,整租,,1室1厅1卫,60,南,高楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2856409997712572416,6300,整租,154m,2室1厅1卫,88,南,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2894205471286370304,3000,整租,,1室1厅1卫,42,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,丰台
BJ1567085136581754880,5500,整租,,2室1厅1卫,77,南/西,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2903514404660723712,4500,整租,,1室1厅1卫,63,南,中楼层,免费使用,民电,集中供暖,无,民水,有,丰台
BJ1569248730383646720,4000,整租,,1室1厅1卫,56,南,高楼层,免费使用,民电,集中供暖,无,民水,有,亦庄开发区
BJ1572135012755570688,3200,整租,,1室0厅1卫,45,南,高楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1565273384038694912,3200,整租,,1室0厅1卫,45,南,高楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1565985076666171392,3200,整租,,1室0厅1卫,45,南,低楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1571021916393701376,5400,整租,,2室1厅1卫,76,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
